0,1
reprezentativac,reprezentatívac
pisao,
izgleda,
put,pȕt
vrhunskog,
tenisača,tenìsāč
pripravnika,prìprāvnīk
investicijskom,
fondu,fȍnd
orao,òrao
dovesti,
ego,ȇgo
red,rȇd
sport,spȍrt
tu,
izuzetno,
pomogao,
omogao,omo
učiti,
uvijek,
uspona,úspon
padova,Pȃdova
sad,
početku,počétak
moram,
isti,
način,náčin
učio,
tenis,ténis
rebalo,reb
pregrmjeti,
probleme,pròblēm
odradio,
sve,sȁv
obveze,
asnije,asn
neplanirano,neplanir
dodao,
aže,aže
takvom,
razvoju,rázvoj
nikad,
nije,
mogao,
nadati,
netko,
prije,
deset,
ću,
raditi,
investicijskoj,
banci,bànka
bih,
ode,òda
psihijatriju,psihijàtrija
ao,ao
tenisač,tenìsāč
razmišljao,
samo,
idućem,
rand,ra
lamu,láma2
olimpijskim,
turniru,tùrnīr
poboljšati,
port,
što,
ja,
znao,
htio,
kada,
došlo,
ozljeda,ȍzljeda
roveo,ro
vremena,vrijéme
oporavku,opòravak
bolnicama,bólnica
nego,
terenu,tèrēn
ošlo,Ȍslo
jednom,
trenutku,trenútak
vrijeme,vrijéme
si,sȋ
priznam,
krenem,
nešto,
drugo,
odinu,od
dana,Dàniel
ležao,
krevetu,krèvet
svijet,svijȇt
okrenuo,
naopačke,
saznao,
boluje,
mononukleoze,mononukleóza
ada,áda
operirate,
vica,
ostelić,ost
ili,
neki,
drugi,
vrhunski,
onda,
uskoro,
krene,
oporavak,opòravak
trening,trenàžēr
oli,oli
idete,
dalje,
pokušavate,
vratiti,
život,žìvot
potpunosti,pòtpunōst
promijenio,
eni,
drugačije,
ovo,
ipak,
problemi,pròblēm
sa,
zdravljem,zdrȃvlje
isam,is
ništa,
d,
tipa,tȉp
osam,
sati,Sàti
dnevno,
treninge,trenàžēr
teretane,teretàna
mečeve,mȅč
došao,
toga,tóga
proveo,
godinu,gȍdina
nošenju,noš
traumom,tràuma
tio,tio
igrati,
pet,
olimpijskih,
igara,ìgra
pokretač,pokrètač
dogodilo,
shvatio,
izazov,ȉzazōv
baš,bȁš2
poput,
onih,
sportu,spȍrt
ekao,ek
sebi,se
imam,ìmām
problem,pròblēm
riješiti,
stotine,stȍtina
drugih,
karijeri,karijéra
mponira,mpo
igrao,
eri,éra
Đokovića,Đokov
adala,ad
ederera,ede
obivao,obi
ih,
gubio,
ve,
počelo,počélo
kasnije,
smo,
razvili,
prijateljstva,prijatèljstvo
tim,tȋm2
ljudima,čȍvjek
ste,
toliko,
traje,
sezona,sezóna
ez,
obzira,ȍbzīr
suparnici,sùpārnīk
počnete,
shvaćati,
van,
terena,tèrēn
morate,
spremni,
pojesti,
večeru,vèčera
popiti,
piće,píće
zaključio,
glavnoj,
rumunjskoj,Rùmūnjskā
bolnici,bólnica
nema,
mjesta,mjȅsto  (I)
mrtve,
tijela,tijȇlo
zamotana,
crne,
vreće,vrȅća
nižu,
hodniku bolnice,hodniku 
ukureštu,ukure
piše,
totine,tot
ljudi,
umiru,
svaki,
dan,
posljednja,
dva,
mjeseca,mjȅsec
umunjskoj,umunj
koja,
bila,
pogođenim,pogođ
zemljama,zèmlja
ovom,ov
valu,vȁla
virusa,vírus
osebno,ose
pogođena,
istočna,
uropa,ur
kojoj,
cijepljeno,
mnogo,
manje,
zapadu,zȃpad
urope,ur
umunjska,umunj
zemlja od,zemlj
sada,
najgorima,
stupana,stu
smrtnosti,smȑtnōst
umunjski,umunj
liječnici,lijȇčnīk
frustrirani,
nestane,
jedno,
selo,sèlo
je dr,je
atalin,ata
irstoiu,irs
sveučilišne,
hitne,
bolnice,bólnica
Što,
tjedan,tjȅdan
mjesec,Mjȅsēc
eće,eće
li,dȍdo
grad,
dje,dje
ćemo,
stati,
amošnji,
stručnjaci,strȕčnjāk
su za,su
veliki,
broj,brȏj
smrtnih,
slučajeva,slȕčāj
okrivili,
nisku,
stopu,stòpa
cijepljenja,cijeplje
iznosi,ìznos
oko,òkno
 daleko, da
prosjeka,prȍsjeka
uropske,uro
unije,
scrpljeni,scrpl
financijski,
fizički,
psihički,
požalio,
uzrokovano,
stvari,stvȃr
nesposobnošću,nesposóbnōst
stanovništva,stanovníštvo
shvati,
mora,mȍra
cijepiti,
četvrtog,
vala,vȁla
procijepljeno,
studenoga,
zabilježila,
najveći,
dnevni,
pandemije,pandèmija
prijavljen,
smrtni,
slučaj,slȕčāj
-,-
%,%
njih,
renutačno,renut
pacijenata,pacìjent
oboljelih,obolj
diljem,
zemlje,zèmlja
intenzivnoj,
njezi,njȅga2
gotovo,
osoba,ȍsoba
koronavirusa,koronavi
umrlo,
početka,počétak
ake,ake
aul,àvlija
prosinca,pròsinac1
boksat,
protiv,
ommyja,omm
uryja,ur
brata,brȁt
puno,
poznatijeg,
svjetskog,
prvaka,pẕvāk
ysona,ys
jednoj,
predborbi,predb
sučelit,
bivše,
superzvijezde,superzvi
lige,líga
-a,-a
eron,er
illiams,ill
rank,ra
ore,
rostruki,rostr
ll-,ll-
tar,Tȃr
dvostruki,
olimpijski,
prvak,pẕvāk
-godišnji,-godi
playmaker,
ligi,líga
tah,tȁh
azz,azz
ew,ew
ersey,er
rooklyn,roo
etse,et
allas,al
kratko,
leveland,level
tijekom,
lockouta,locko
turskom,
ešiktašu,ešikt
ri,ri
puta,
nastupio,
utakmici,ùtakmica
dvaput,
izabran,
petorku,pètōrka
američkom,
reprezentacijom,reprezentácija
osvojio,
olimpijska,
zlata,zlȃto
ekingu,eki
ondonu,ond
arijeru,ari
prosjecima,prósjek
poena,pòēn
asistencije,asistèncija
utakmica,ùtakmica
najboljim,
sezonama,sezóna
zabijao,
preko,Prȇko
rekorder,rekòrdēr
član,člȃn
najbolje,
momčadi,mòmče
-ih,-ih
stariji,
cm,
niži,
running,run
back,back
očekuje,
ring,rȉng2
ući,
slične,
težine,težìna
granica,grànica
postavljena,
kg,kg
lani,
prvih,
an,
rancisco,ranci
ersima,ers
ro,rȏ1
owlu,ow
taru,tȁra
najbolju,
momčad,
desetljeća,dȅsetljeće
utakmicom,ùtakmica
najviše,
backova,bac
povijesti,pȍvijēst
is,
boxer,bo
now,now
first,fi
fight,fi
was,was
just,
announced,annou
against,aga
former,fòrmer
star,
y,
story,st
from,fr
eptember,eptem
on,
his,hȉs
new,
life,li
https,ht
t,
co,
gtxp,gt
pic,pȉc
twitter,twi
com,
z,
bojici,boj
boksački,
debi,dèbī
borba,bòrba
dogovorena,
četiri,
runde,rȕnda
prvi,
pravog,
boksača,bòksāč1
lavni,la
šou,šȍu  (I)
večeri,vȅčēr
okršaj,ȍkršāj
akea,ak
aula,àula
dosad,
pobijedio,
sva,sȁv
protivnika,pròtīvnīk
ringu,rȉng2
kolegu,koléga
youtubera,youtu
n,
son,sȏn
iba,iba
bivšeg,
zakucavača,zakuc
atea,at
obinsona,obins
te,tȇ
borce,bórac
ena,
skrena,skr
yrona,yr
oodleyja,oodle
ommy,om
ury,ury
bit,bȉt
protivnik,pròtīvnīk
iskustvom,iskústvo
profesionalnom,
boksu,bȍks1
rat,ȑt
dobio,
mečeva,mȅč
posljednji,
funkciji,fùnkcija
predborbe,predb
aulov,au
meč,mȅč
oodleyjem,oodle
